review_text,rating,date,user,delivery,menu
시켜먹고 그 다음날 또 시키게 만드는 마력의 디에스티... 이틀연속 시켜먹었습니다... 존맛탱 .... 서비스 감사히 잘먹었습니다 :),5,2021.11,동망산,,"애넘 밀크티, 마약 크로플"
저의 최애 크로플가게입니다. 오늘도 서비스가 대단히 대단합니다^^ 전 그릭요거트만 시켰을뿐인데 ㅋㅋ토핑까지 ㅋ 제가 더 감사해용!,5,2021.11,khee****,상,"마약 크로플, 애넘 밀크티, 그릭요거트 90g"
진짜 맛있어요..!! 딸기도 완전 많구 크림도 안느끼해여 코코아파우더를 뿌려주신건지 조화도 짱이구 민초스무디도 짱맛있었어용 또시킬게영 감사해여,5,2021.11,동망산,,"민트초코 스무디, 생딸기생크림 크로플"
서비스까지 넘무 감사합니다 ㅠ 믿고..먹는..디에스티.. 크로플도 최고입니다ㅜ 번창하세요~!~!~!,5,2021.11,버민,상,"애넘 밀크티, 마약 크로플"
크로플 맛있어요! 애플시나몬에 사과가 찐이에요! 샤인청포도도 찐 청포도라 맛있어요 사장님도 친절하세요~,5,2021.11,Good,상,"애플시나몬 크로플, 애넘 밀크티, 샤인청포도주스"
안암 최고의 밀크티집이 맞습니다.,5,2021.11,SJO,,"애넘 밀크티, 마약 크로플"
너무 맛있어 보여요!!!,5,2021.11,blac****,상,"애넘 밀크티, 쪼꼬릿밀크티, 신비복숭아요거트"
배달 빠르고 크로플 따뜻하고 맛있어염 밀크티는 녹차보다 애넘이 나아요,5,2021.11,종광,,"민트초코 크로플, 애넘밀크티, 신비복숭아요거트"
,5,2021.11,내가니시다바리가,,"마약 크로플, 녹차 밀크티"
세심한게 빨대하나까지 신경쓰시는 사장님을 보면 음료가 맛이 없을 수가 없는것 같습니다. 진짜 적당히 달면서 맛있네요! 자주 주문하겠습니다,5,2021.11,냐옹냐옹,,"쪼꼬릿밀크티, 로또딸기요거트스무디"
넘 맛있었어용 잘먹었습니다~!~,5,2021.11,하랑둥이,,"마약 크로플, 돌체라떼, 애플시나몬크로플"
너무 맛있어용😆👍🏻💕 서비스도 맛있게 잘 먹었습니당 :),5,2021.11,ypink,상,"애넘 밀크티, 신비복숭아요거트, 브라운슈가 밀크티, 그릭요거트 90g"
포장도 넘 좋구 서비스도 좋구 음료는 당연히 맛있어요❤️ 코코넛젤리 로 바꾼거 넘 좋아요,5,2021.11,째니,상,"자몽오렌지에이드, 유자애플상큼티"
여전히 서비스 많이 주시고 맛있어요!,5,2021.11,고수고수,상,"마약 크로플, 브라운슈가 밀크티, 아메리카노"
오늘도 최고!,5,2021.11,MoloN,,"오키나와 스무디, 애플시나몬 크로플"
밀크티 크로플 맛집이네요 자주이용할께요,5,2021.11,심현보,,"애넘 밀크티, 마약 크로플"
역시...안암 대존엄 크로플 맛집...밀크티 맛집...모르면 간첩...아이스크림도 잘 받았슴다ㅎㅎ,5,2021.11,도콩,,"애넘 밀크티, 마약 크로플"
밀크티도 크로플도 너무 맛있게 잘 먹었습니다 감사합니다~~!,5,2021.11,먹보,,"애넘 밀크티, 마약 크로플"
수박주스 수박이 씹히고 너무 맛있어요!! 신비복숭아요거트랑 서비스로 주신 레몬슬러쉬도 맛있었어요. 감사합니다.^^,5,2021.11,fatd****,,"까망애플수박주스, 신비복숭아요거트"
디저트류를 잘 시켜 먹는편은 아닌데 갑자기 생각나서 시키게 되엇네요 수박쥬스는 오자마자 마셧는데 엄청 달고 맛잇구 크로플도 너무 맛잇어요 ! 밀크티는 아직 안먹어서 .. ㅎㅎ 맛잇을거 같아요,5,2021.11,이안,,"까망애플수박주스, 애넘 밀크티, 마약 크로플, 애플시나몬크로플"
친절하고 서비스도 감사해요!! 번창하세요,5,2021.11,링가,,"애넘 밀크티, 그릭요거트 90g"
"몇달 전부터 크로플이 먹고 싶었는데 언니가 추천해줘서 먹었는데 너무 맛있어요!! 이제 다른 곳에선 크로플 못 먹을 것 같아요🥲 섭스로 주신 레몬 슬러쉬도 정말 맛있었어요! 완전 새콤 해서 달달한 크로플이랑 먹으니까 찰떡이더라구요! 유자애플상큼티도 유자랑 사과가 이렇게 잘 어울릴 수 있다는 걸 알게 해주는 맛이었어요,,, 잘 먹었습니다 너무 맛있었어요🥰",5,2021.11,라랄,상,"유자애플상큼티, 마약 크로플"
백신맞고 죽어있다가 달달구리한게 넘 땡겨서 시켰는데 서비스까지.. 감사합니다 크로플 대박 존맛탱,5,2021.11,코오기,,"로또딸기요거트스무디, 마약 크로플"
"오랜만에 밀크티가 먹고 싶어서 시켰어요ㅎㅎ 배달이 늦어진다고 전화까지 해주셔서 크로플 하나를 서비스로 더 주시고, 배달 시작되니 한 번 더 연락주셔서 레몬슬러쉬가 생각보다 달게 됐다고 양해까지 구하셨어요! 그 레몬슬러쉬는 처음 시켰봤는데 달아도 맛있었고, 밀크티는 여전히 최고에요ㅠㅠ 크로플도 정말 맛있게 잘 먹었습니다! 다음에도 또 시킬게요☺",5,2021.11,호호잇,,"마약 크로플, 상큼톡톡 레몬 슬러쉬, 애넘 밀크티"
배달도 빠르고 맛있게 잘 먹었습니다! 서비스로 주신 신메뉴도 상큼하니 아주 맛있었습니다.,5,2021.11,SJO,,티라미수 크로플
맛있어영 배달도 빠름 스누피 컵홀더 너무 귀여워요,5,2021.11,내가니시다바리가,,"마약 크로플, 애넘 밀크티"
